"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","is_us_company","salary_in_usd_10K","is_FT","is_us_person","is_22"
"0",2020,"MI","FT","Data Scientist",70000,"EUR",79833,"DE",0,"DE","L",FALSE,7.9833,TRUE,FALSE,FALSE
"1",2020,"SE","FT","Machine Learning Scientist",260000,"USD",260000,"JP",0,"JP","S",FALSE,26,TRUE,FALSE,FALSE
"2",2020,"SE","FT","Big Data Engineer",85000,"GBP",109024,"GB",50,"GB","M",FALSE,10.9024,TRUE,FALSE,FALSE
"3",2020,"MI","FT","Product Data Analyst",20000,"USD",20000,"HN",0,"HN","S",FALSE,2,TRUE,FALSE,FALSE
"4",2020,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"US",50,"US","L",TRUE,15,TRUE,TRUE,FALSE
"5",2020,"EN","FT","Data Analyst",72000,"USD",72000,"US",100,"US","L",TRUE,7.2,TRUE,TRUE,FALSE
"6",2020,"SE","FT","Lead Data Scientist",190000,"USD",190000,"US",100,"US","S",TRUE,19,TRUE,TRUE,FALSE
"7",2020,"MI","FT","Data Scientist",11000000,"HUF",35735,"HU",50,"HU","L",FALSE,3.5735,TRUE,FALSE,FALSE
"8",2020,"MI","FT","Business Data Analyst",135000,"USD",135000,"US",100,"US","L",TRUE,13.5,TRUE,TRUE,FALSE
"9",2020,"SE","FT","Lead Data Engineer",125000,"USD",125000,"NZ",50,"NZ","S",FALSE,12.5,TRUE,FALSE,FALSE
"10",2020,"EN","FT","Data Scientist",45000,"EUR",51321,"FR",0,"FR","S",FALSE,5.1321,TRUE,FALSE,FALSE
"11",2020,"MI","FT","Data Scientist",3000000,"INR",40481,"IN",0,"IN","L",FALSE,4.0481,TRUE,FALSE,FALSE
"12",2020,"EN","FT","Data Scientist",35000,"EUR",39916,"FR",0,"FR","M",FALSE,3.9916,TRUE,FALSE,FALSE
"13",2020,"MI","FT","Lead Data Analyst",87000,"USD",87000,"US",100,"US","L",TRUE,8.7,TRUE,TRUE,FALSE
"14",2020,"MI","FT","Data Analyst",85000,"USD",85000,"US",100,"US","L",TRUE,8.5,TRUE,TRUE,FALSE
"15",2020,"MI","FT","Data Analyst",8000,"USD",8000,"PK",50,"PK","L",FALSE,0.8,TRUE,FALSE,FALSE
"16",2020,"EN","FT","Data Engineer",4450000,"JPY",41689,"JP",100,"JP","S",FALSE,4.1689,TRUE,FALSE,FALSE
"17",2020,"SE","FT","Big Data Engineer",100000,"EUR",114047,"PL",100,"GB","S",FALSE,11.4047,TRUE,FALSE,FALSE
"18",2020,"EN","FT","Data Science Consultant",423000,"INR",5707,"IN",50,"IN","M",FALSE,0.5707,TRUE,FALSE,FALSE
"19",2020,"MI","FT","Lead Data Engineer",56000,"USD",56000,"PT",100,"US","M",TRUE,5.6,TRUE,FALSE,FALSE
"20",2020,"MI","FT","Machine Learning Engineer",299000,"CNY",43331,"CN",0,"CN","M",FALSE,4.3331,TRUE,FALSE,FALSE
"21",2020,"MI","FT","Product Data Analyst",450000,"INR",6072,"IN",100,"IN","L",FALSE,0.6072,TRUE,FALSE,FALSE
"22",2020,"SE","FT","Data Engineer",42000,"EUR",47899,"GR",50,"GR","L",FALSE,4.7899,TRUE,FALSE,FALSE
"23",2020,"MI","FT","BI Data Analyst",98000,"USD",98000,"US",0,"US","M",TRUE,9.8,TRUE,TRUE,FALSE
"24",2020,"MI","FT","Lead Data Scientist",115000,"USD",115000,"AE",0,"AE","L",FALSE,11.5,TRUE,FALSE,FALSE
"25",2020,"EX","FT","Director of Data Science",325000,"USD",325000,"US",100,"US","L",TRUE,32.5,TRUE,TRUE,FALSE
"26",2020,"EN","FT","Research Scientist",42000,"USD",42000,"NL",50,"NL","L",FALSE,4.2,TRUE,FALSE,FALSE
"27",2020,"SE","FT","Data Engineer",720000,"MXN",33511,"MX",0,"MX","S",FALSE,3.3511,TRUE,FALSE,FALSE
"28",2020,"EN","CT","Business Data Analyst",100000,"USD",100000,"US",100,"US","L",TRUE,10,FALSE,TRUE,FALSE
"29",2020,"SE","FT","Machine Learning Manager",157000,"CAD",117104,"CA",50,"CA","L",FALSE,11.7104,TRUE,FALSE,FALSE
"30",2020,"MI","FT","Data Engineering Manager",51999,"EUR",59303,"DE",100,"DE","S",FALSE,5.9303,TRUE,FALSE,FALSE
"31",2020,"EN","FT","Big Data Engineer",70000,"USD",70000,"US",100,"US","L",TRUE,7,TRUE,TRUE,FALSE
"32",2020,"SE","FT","Data Scientist",60000,"EUR",68428,"GR",100,"US","L",TRUE,6.8428,TRUE,FALSE,FALSE
"33",2020,"MI","FT","Research Scientist",450000,"USD",450000,"US",0,"US","M",TRUE,45,TRUE,TRUE,FALSE
"34",2020,"MI","FT","Data Analyst",41000,"EUR",46759,"FR",50,"FR","L",FALSE,4.6759,TRUE,FALSE,FALSE
"35",2020,"MI","FT","Data Engineer",65000,"EUR",74130,"AT",50,"AT","L",FALSE,7.413,TRUE,FALSE,FALSE
"36",2020,"MI","FT","Data Science Consultant",103000,"USD",103000,"US",100,"US","L",TRUE,10.3,TRUE,TRUE,FALSE
"37",2020,"EN","FT","Machine Learning Engineer",250000,"USD",250000,"US",50,"US","L",TRUE,25,TRUE,TRUE,FALSE
"38",2020,"EN","FT","Data Analyst",10000,"USD",10000,"NG",100,"NG","S",FALSE,1,TRUE,FALSE,FALSE
"39",2020,"EN","FT","Machine Learning Engineer",138000,"USD",138000,"US",100,"US","S",TRUE,13.8,TRUE,TRUE,FALSE
"40",2020,"MI","FT","Data Scientist",45760,"USD",45760,"PH",100,"US","S",TRUE,4.576,TRUE,FALSE,FALSE
"41",2020,"EX","FT","Data Engineering Manager",70000,"EUR",79833,"ES",50,"ES","L",FALSE,7.9833,TRUE,FALSE,FALSE
"42",2020,"MI","FT","Machine Learning Infrastructure Engineer",44000,"EUR",50180,"PT",0,"PT","M",FALSE,5.018,TRUE,FALSE,FALSE
"43",2020,"MI","FT","Data Engineer",106000,"USD",106000,"US",100,"US","L",TRUE,10.6,TRUE,TRUE,FALSE
"44",2020,"MI","FT","Data Engineer",88000,"GBP",112872,"GB",50,"GB","L",FALSE,11.2872,TRUE,FALSE,FALSE
"45",2020,"EN","PT","ML Engineer",14000,"EUR",15966,"DE",100,"DE","S",FALSE,1.5966,FALSE,FALSE,FALSE
"46",2020,"MI","FT","Data Scientist",60000,"GBP",76958,"GB",100,"GB","S",FALSE,7.6958,TRUE,FALSE,FALSE
"47",2020,"SE","FT","Data Engineer",188000,"USD",188000,"US",100,"US","L",TRUE,18.8,TRUE,TRUE,FALSE
"48",2020,"MI","FT","Data Scientist",105000,"USD",105000,"US",100,"US","L",TRUE,10.5,TRUE,TRUE,FALSE
"49",2020,"MI","FT","Data Engineer",61500,"EUR",70139,"FR",50,"FR","L",FALSE,7.0139,TRUE,FALSE,FALSE
"50",2020,"EN","FT","Data Analyst",450000,"INR",6072,"IN",0,"IN","S",FALSE,0.6072,TRUE,FALSE,FALSE
"51",2020,"EN","FT","Data Analyst",91000,"USD",91000,"US",100,"US","L",TRUE,9.1,TRUE,TRUE,FALSE
"52",2020,"EN","FT","AI Scientist",300000,"DKK",45896,"DK",50,"DK","S",FALSE,4.5896,TRUE,FALSE,FALSE
